category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
Kids Menu,2626012,Spaghetti Bolognese,37.14,"","","",""
Ourdough Hot BEVERAGES,2964508,Spanish Latte,29.0,"","","",""
Coffee,1224611,Spanish Latte,29.0,"","","",Recipe
Cold Beverages,1223939,Sparkling Large,26.0,"","","",Recipe
Ourdough cold BEVERAGES,2993340,Sparkling Large,26.0,"","","",""
Cold Beverages,1223940,Sparkling Small,13.0,"","","",Recipe
Ourdough cold BEVERAGES,2993339,Sparkling Small,13.0,"","","",""
Coffee,2427734,special milk,5.0,"","","",""
 Ourdough Starters,2728754,Spiced Peppers,44.0,"","","",""
Add- Ons,2418288,Spicy Feta Cheese,8.0,"","","",""
Flatbreads,2947603,Spicy Pepperoni,54.0,"","","",""
Ourdough cold BEVERAGES,2993335,Sprite,16.0,"","","",""
Cold Beverages,1223930,Sprite,16.0,"","","",Recipe
Mains/ Pasta,2727310,Steak & Frites,178.0,"","","",""
Breakfast,2877344,Steak Omelette,89.0,"","","",""
Ourdough cold BEVERAGES,2993337,Still Large,26.0,"","","",""
Cold Beverages,1223934,Still Large,26.0,"","","",Recipe
Cold Beverages,1910305,STILL MEDIUM,14.285,"","","",""
